Item ID,Title,Click potential,Feed label,Language,Item status,Channels,Issue title,Issue additional information,Traffic type,Country,Issue severity
2352,Nuclear Medicine and PETCT 8th Edition Test Bank,Low,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Canada,SEVERITY_DISAPPROVED
2352,Nuclear Medicine and PETCT 8th Edition Test Bank,Low,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United States,SEVERITY_DISAPPROVED
2352,Nuclear Medicine and PETCT 8th Edition Test Bank,Low,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United Kingdom,SEVERITY_DISAPPROVED
2352,Nuclear Medicine and PETCT 8th Edition Test Bank,Low,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Australia,SEVERITY_DISAPPROVED
1158,Pathophysiology Introductory Concepts And Clinical Perspectives 2nd Edition Test Bank,Low,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Australia,SEVERITY_DISAPPROVED
1158,Pathophysiology Introductory Concepts And Clinical Perspectives 2nd Edition Test Bank,Low,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Canada,SEVERITY_DISAPPROVED
1158,Pathophysiology Introductory Concepts And Clinical Perspectives 2nd Edition Test Bank,Low,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United States,SEVERITY_DISAPPROVED
1158,Pathophysiology Introductory Concepts And Clinical Perspectives 2nd Edition Test Bank,Low,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United Kingdom,SEVERITY_DISAPPROVED
1592,Community Oral Health Practice for the Dental Hygienist 4th Edition Test Bank,Low,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Australia,SEVERITY_DISAPPROVED
1592,Community Oral Health Practice for the Dental Hygienist 4th Edition Test Bank,Low,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Canada,SEVERITY_DISAPPROVED
1592,Community Oral Health Practice for the Dental Hygienist 4th Edition Test Bank,Low,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United States,SEVERITY_DISAPPROVED
1592,Community Oral Health Practice for the Dental Hygienist 4th Edition Test Bank,Low,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United Kingdom,SEVERITY_DISAPPROVED
2168,Essentials of Cardiopulmonary Physical Therapy 4th Edition Ellen Hillegass Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,Canada,SEVERITY_DISAPPROVED
2168,Essentials of Cardiopulmonary Physical Therapy 4th Edition Ellen Hillegass Test Bank,Available soon,USA,en,ELIGIBLE_LIMITED,ONLINE,Digital books not supported,Digital books or eBooks are not supported and cannot be listed on Shopping,Shopping ads,United States,SEVERITY_DISAPPROVED
