id,title,download_path
1494,Accompany Maternal Child Nursing Care Third Canadian Edition 3rd Edition by Lisa Keenan-Lindsay Test Bank,/uploads/downloads/Accompany-Maternal-Child-Nursing-Care-Canadian-3rd-Edition-by-Lisa-Keenan-Lindsay-s9x03s.zip
1497,Adult Health Nursing 8th Edition by Kim Cooper Test Bank,/uploads/downloads/Adult-Health-Nursing-8th-Edition-by-Kim-Cooper-Test-Bank-cei3rv.zip
1090,Advanced Assessment: Interpreting Findings And Formulating Differential Diagnoses 4th Edition Goolsby Test Bank,/uploads/downloads/tb4e-modmv1.zip
1091,Advanced Practice Nursing In The Care Of Older Adults 2nd Edition Laurie Kennedy-malone Test Bank,/uploads/downloads/tb-tz7qar.zip
1092,Advancing Your Career Concepts Of Professional Nursing 7th Edition Rose Kearney Nunnery Test Bank,/uploads/downloads/tb-zxqezw.zip
934,Advancing Your Career Concepts of Professional Nursing 6th Edition Test Bank,/uploads/downloads/tb-derj95.zip
2116,Alexander's Care of the Patient in Surgery 16th Edition by Jane C. Rothrock Test Bank,/uploads/downloads/Alexanders-Care-of-the-Patient-in-Surgery-16th-Edition-by-Jane-C.-Rothrock-Test-Bank-ctaln0.zip
1498,Anatomy & Physiology 10th Edition by Kevin T. Patton Test Bank,/uploads/downloads/Anatomy-Physiology-10th-Edition-by-Kevin-T.-Patton-Test-Bank-08gjwe.zip
936,Anatomy & Physiology in a Flash! An Interactive Flash-Card Approach Test Bank,/uploads/downloads/tb-bqpdpo.zip
6215,Anatomy and Physiology openstax 1st Edition by Gordon Betts Test Bank,
1093,Anderson's Nursing Leadership Management And Professional Practice 5th Edition Tamara R. Dahlkemper Test Bank,/uploads/downloads/tb-zxxnwo.zip
6185,"Applied Pathophysiology for the Advanced Practice Nurse, 1st Edition by Dlugasch & Story Test Bank",https://drive.google.com/file/d/1_eU6OmzGUWtDKoehVUrxoWutO2R7pesl/view?usp=sharing
1499,Applied Pharmacology for the Dental Hygienist 8th Edition by Elena Bablenis Haveles Test Bank,/uploads/downloads/Haveles8etb-aracij.zip
2117,Applied Pharmacology for the Dental Hygienist 9th Edition Test Bank,/uploads/downloads/Applied-Pharmacology-for-the-Dental-Hygienist-9th-Edition-by-Elena-Bablenis-Haveles-TB-43qmhi.zip
948,Assessment Of The School-age Child And Adolescent Margaret R. Colyar Test Bank,/uploads/downloads/ASSESSMENT-OF-THE-SCHOOL-AGE-CHILD-AND-ADOLESCENT-Margaret-R.-Colyar-tb-zn8bhd.zip
1500,Bailey and Scott's Diagnostic Microbiology 15th Edition by Patricia Tille Test Bank,/uploads/downloads/TilleTB-jnenlm.zip
1522,Basic Geriatric Nursing 8th Edition by Patricia A. Williams Test Bank,/uploads/downloads/tb-hb8cpj.zip
1524,Bontrager's Textbook of Radiographic Positioning and Related Anatomy 10th Edition Test Bank,/uploads/downloads/BONTRA1-zg5qzj.zip
1525,Bontrager's Textbook of Radiographic Positioning and Related Anatomy 9th Edition Test Bank,/uploads/downloads/tb-i8mffl.zip
1540,Brand Anatomy of Orofacial Structures 8th Edition Test Bank,/uploads/downloads/chapterquiz-nlxdpa.zip
6203,Brunner & Suddarth's Textbook of Medical-Surgical Nursing 14th edition by Hinkle Test Bank,
6221,Brunner & Suddarth's Textbook of Medical-Surgical Nursing 15th Edition by Hinkle Test Bank,https://drive.google.com/file/d/1yPNhRuYgMTig3uqUolgdcl--vm8pQK2A/view?usp=drive_link
1541,Buck's Step-by-Step Medical Coding 2020 edition Test Bank,/uploads/downloads/Bucks-Step-by-Step-Medical-Coding-2020-edition-Test-Bank-nckyby.zip
1542,Building a Medical Vocabulary 10th Edition by Peggy C. Leonard Test Bank,/uploads/downloads/Leonard10etb-nxmk7h.zip
1543,Calculate with Confidence 7th Edition by Deborah C. Morris Test Bank,/uploads/downloads/Calculate-with-Confidence-7th-Edition-by-Deborah-C.-Morris-Test-Bank-av3bqb.zip
1108,Calculating Drug Dosages 2nd Edition Sandra Luz Test Bank,/uploads/downloads/testbank2eMartinez-kofku0.zip
957,Calculating Drug Dosages A Patient-safe Approach To Nursing And Math Test Bank,/uploads/downloads/Test-Bank-zqi11r.zip
1565,Canadian Clinical Nursing Skills and Techniques by Anne Griffin Perry Test Bank,/uploads/downloads/Canadian-Clinical-Nursing-Skills-and-Techniques-by-Anne-Griffin-Perry-Test-Bank-kla8pe.zip
1109,Caring For Older Adults Holistically 7th Edition Tamara R. Dahlkemper Test Bank,/uploads/downloads/tb-iogj0v.zip
1566,Case-Smith's Occupational Therapy for Children and Adolescents 8th Edition Test Bank,/uploads/downloads/CASE-S1-gtssp9.zip
1567,Clayton's Basic Pharmacology for Nurses 18th Edition by Michelle Willihnganz Test Bank,/uploads/downloads/Claytons-Basic-Pharmacology-for-Nurses-18th-Edition-by-Michelle-Willihnganz-Test-Bank-lqojic.zip
2129,Clinical Calculations 9th Edition by Joyce LeFever Kee ch7-17 Test Bank,/uploads/downloads/Clinical-Calculations-9th-Edition-by-Joyce-LeFever-Kee-ch7-17-Test-Bank-sj3qnx.zip
1110,Clinical Immunology And Serology A Laboratory Perspective 4th Edition Test Bank,/uploads/downloads/Stevens4e-5hzbxj.zip
2130,Clinical Manifestations & Assessment of Respiratory Disease 8th Edition Test Bank,/uploads/downloads/tb-ermlyd.zip
1568,Clinical Nursing Skills and Techniques 10th Edition by Anne Griffin Perry Test Bank,/uploads/downloads/Clinical-Nursing-Skills-and-Techniques-10th-Edition-by-Anne-Griffin-Perry-Test-Bank-4l49pz.zip
958,Communication For Nurses by Pamela Mchugh Schuster Test Bank,/uploads/downloads/COMMUN1-brwwdy.zip
1569,Community Health Nursing in Canada 4th Edition by Sandra A. MacDonald Test Bank,/uploads/downloads/MacDonald4cetb-qpusrb.zip
1592,Community Oral Health Practice for the Dental Hygienist 4th Edition Test Bank,/uploads/downloads/Community-Oral-Health-Practice-for-the-Dental-Hygienist-4th-Edition-Test-Bank-krmikj.zip
1593,Community Oral Health Practice for the Dental Hygienist 5th Edition Test Bank,/uploads/downloads/Community-Oral-Health-Practice-for-the-Dental-Hygienist-5th-Edition-Test-Bank-penmjm.zip
1594,Community Public Health Nursing 8th Edition by Mary A. Nies Test Bank,/uploads/downloads/tb-xc8azo.zip
2142,Concept-Based Clinical Nursing Skills by Loren Stein Test Bank,/uploads/downloads/tb-d6zbwz.zip
1595,Conceptual Foundations 7th Edition by Elizabeth E. Friberg Test Bank,/uploads/downloads/Conceptual-Foundations-7th-Edition-by-Elizabeth-E.-Friberg-Test-Bank-fo2exs.zip
2143,Contemporary Nursing 8th Edition by Barbara Cherry Test Bank,/uploads/downloads/tb-s5evkk.zip
1596,Craig's Essentials of Sonography and Patient Care 4th Edition by M. Robert deJong Test Bank,/uploads/downloads/Craigs-Essentials-of-Sonography-and-Patient-Care-4th-Edition-by-M.-Robert-deJong-Test-Bank-vj52ko.zi
1616,Critical Care Nursing 8th Edition by Linda D. Urden Test Bank,/uploads/downloads/Critical-Care-Nursing-8th-Edition-by-Linda-D.-Urden-Test-Bank-pruosi.zip
1617,Darby and Walsh Dental Hygiene 5th Edition by Denise M. Bowen Test Bank,/uploads/downloads/Darby-and-Walsh-Dental-Hygiene-5th-Edition-by-Denise-M.-Bowen-Test-Bank-nt7zca.zip
1123,Davis Advantage For Basic Nursing Thinking Doing And Caring 2nd Edition Leslie S. Treas Test Bank,/uploads/downloads/tb-1vrdzq.zip
1126,Davis Advantage For Maternal-child Nursing Care 3rd Edition Meredith J Scannell Test Bank,/uploads/downloads/Davis-Advantage-for-Maternal-Child-Nursing-Care-3rd-Edition-Meredith-J-Scannell-tb-boad4t.zip
1127,Davis Advantage For Medical-surgical Nursing Making Connections To Practice Hoffman Test Bank,/uploads/downloads/tb-isug8p.zip
1159,Davis Advantage For Psychiatric Mental Health Nursing 10th Edition Karyn I. Morgan Test Bank,/uploads/downloads/Morgan10etb-iaqxdz.zip
1160,Davis Advantage For Understanding Medical-surgical Nursing 7th Edition Linda S. Williams Test Bank,/uploads/downloads/TB-n7rbop.zip
6230,"Davis Advantage for Medical-Surgical Nursing: Making Connections to Practice, 3rd Edition by Janice J. Hoffman and Nancy J. Sullivan Test Bank",https://drive.google.com/file/d/1FdZ2CmEkt27ROSkh_UJfIr7MEkFOv39v/view?usp=sharing
1161,Davis's Canadian Drug Guide For Nurses 15th Edition April Hazard Vallerand Test Bank,/uploads/downloads/TB-b4hrqk.zip
1182,Davis's Drug Guide For Nurses 16th Edition April Hazard Vallerand Test Bank,/uploads/downloads/tb16e-DAVISS-DRUG-GUIDE-FOR-NURSES-CANADIAN-VERSION-16th-Edition-April-Hazard-Vallerand-hogilo.zip
1183,Davis's Drug Guide For Nurses 17th April Hazard Vallerand Test Bank,/uploads/downloads/TB17E-abpmcm.zip
1184,Davis's Drug Guide For Nurses Canadian Version 16th Edition April Hazard Vallerand Test Bank,/uploads/downloads/tb-8wgyle.zip
1162,Davis's Nursing Skills Videos (online Streaming) Judith M. Wilkinson Test Bank,/uploads/downloads/tb-qm6oji.zip
2144,Dental Management of the Medically Compromised Patient 9th Edition Test Bank,/uploads/downloads/Little9etb-q6nh0q.zip
1618,Dental Materials 4th Edition by W. Stephen Eakle Test Bank,/uploads/downloads/tb-5k1ly4.zip
1185,Differentiating Surgical Instruments 3rd Edition Colleen J. Rutherford Test Bank,/uploads/downloads/Rutherford3e-93ffqr.zip
2145,Digital Radiography and PACS 3rd Edition by Christi Carter Test Bank,/uploads/downloads/tb-gocbga.zip
1186,Dimensional Analysis Calculating Dosages Safely 2nd Edition Tracy Horntvedt Test Bank,/uploads/downloads/tb-wvq4u2.zip
